community,area_num_1,GRR,L,NL,U,total,flag,lead_plus_suspected,requires_replacement,pct_lead,pct_grr,pct_suspected_lead,pct_lead_plus_suspected,pct_requires_replacement,pct_not_lead,N,Y,NA,pct_replaced,median_household_income,pct_poverty,pct_hispanic,pct_white_nonhispanic,pct_black_nonhispanic,pct_asian_nonhispanic,pct_minority
The Loop,32,7,6,937,162,1112,FALSE,168,175,0.5,0.6,14.6,15.1,15.7,84.3,1112,0,0,0,119835.99246704332,9.6,12.1,50.9,9.3,23.6,49.1
Near South Side,33,5,29,1247,125,1406,FALSE,154,159,2.1,0.4,8.9,11,11.3,88.7,1406,0,0,0,124965.99801980198,7.5,7.3,50.2,21.1,17.1,49.8
Armour Square,34,20,266,891,738,1915,FALSE,1004,1024,13.9,1,38.5,52.4,53.5,46.5,1901,14,0,0.7,43502.61521265134,24.8,5.1,15.6,12.2,63.6,84.4
Douglas,35,16,192,705,572,1485,FALSE,764,780,12.9,1.1,38.5,51.4,52.5,47.5,1471,14,0,0.9,47425.76843657817,27.8,7.3,9.1,63.5,13.6,90.9
Oakland,36,4,33,461,136,634,FALSE,169,173,5.2,0.6,21.5,26.7,27.3,72.7,629,5,0,0.8,29958.68548387097,35.3,5.3,5.9,84.3,0.5,94.1
Fuller Park,37,13,252,103,377,745,FALSE,629,642,33.8,1.7,50.6,84.4,86.2,13.8,737,8,0,1.1,17657.246404799072,52.9,11.1,3.1,75.7,0.6,96.9
Grand Boulevard,38,35,390,1289,1314,3028,FALSE,1704,1739,12.9,1.2,43.4,56.3,57.4,42.6,2993,35,0,1.2,49091.59075907591,25,4.6,7,82.1,0.4,93
Kenwood,39,16,223,606,669,1514,FALSE,892,908,14.7,1.1,44.2,58.9,60,40,1498,16,0,1.1,61077.980680061824,23.9,3.6,19.2,65,6,80.8
Washington Park,40,18,204,256,600,1078,FALSE,804,822,18.9,1.7,55.7,74.6,76.3,23.7,1060,18,0,1.7,27868.016025641024,45.8,1.4,1.6,94.9,0.1,98.4
Hyde Park,41,46,524,724,1003,2297,FALSE,1527,1573,22.8,2,43.7,66.5,68.5,31.5,2260,37,0,1.6,68165.69923857867,21.9,8,40.2,28,15.5,59.8
Woodlawn,42,63,698,870,1618,3249,FALSE,2316,2379,21.5,1.9,49.8,71.3,73.2,26.8,3195,54,0,1.7,35619.408577070564,31.5,2.7,10.2,79.1,3.3,89.8
South Shore,43,379,2649,861,3115,7004,FALSE,5764,6143,37.8,5.4,44.5,82.3,87.7,12.3,6872,132,0,1.9,39961.7556178735,29.5,2.8,3.3,91.4,0.5,96.7
Chatham,44,217,2826,625,3964,7632,FALSE,6790,7007,37,2.8,51.9,89,91.8,8.2,7458,174,0,2.3,42090.65788369558,25.2,3,1.8,93.3,0.3,98.2
Avalon Park,45,165,1570,217,1530,3482,FALSE,3100,3265,45.1,4.7,43.9,89,93.8,6.2,3397,85,0,2.4,55946.12932624197,17.3,0.9,0.3,93.7,0.1,99.7
South Chicago,46,246,2683,568,3462,6959,FALSE,6145,6391,38.6,3.5,49.7,88.3,91.8,8.2,6815,144,0,2.1,42455.18262411348,29.3,23.1,4.6,70.1,0.2,95.4
Burnside,47,45,326,102,391,864,FALSE,717,762,37.7,5.2,45.3,83,88.2,11.8,852,12,0,1.4,48227.20253164557,23.5,5.2,0,91.8,0,100
Calumet Heights,48,105,2305,178,2488,5076,FALSE,4793,4898,45.4,2.1,49,94.4,96.5,3.5,5003,73,0,1.4,68354.36528497409,16,5.7,0.5,92,0.2,99.5
Roseland,49,427,5463,642,6530,13062,FALSE,11993,12420,41.8,3.3,50,91.8,95.1,4.9,12811,251,0,1.9,50453.59371884347,21.7,2.4,2.6,92.3,0.2,97.4
Pullman,50,54,988,167,964,2173,FALSE,1952,2006,45.5,2.5,44.4,89.8,92.3,7.7,2131,42,0,1.9,54684.84615384616,21.4,7.7,13.4,73.7,1.3,86.6
South Deering,51,87,1985,312,2353,4737,FALSE,4338,4425,41.9,1.8,49.7,91.6,93.4,6.6,4636,101,0,2.1,37094.956647398845,29.7,35.1,4.7,59.3,0.1,95.3
East Side,52,150,2144,354,3336,5984,FALSE,5480,5630,35.8,2.5,55.7,91.6,94.1,5.9,5906,78,0,1.3,62025.09509519473,16.2,86,10.9,2.2,0.2,89.1
West Pullman,53,364,3473,530,5009,9376,FALSE,8482,8846,37,3.9,53.4,90.5,94.3,5.7,9208,168,0,1.8,50429.64453125,24.5,7.6,1.2,89,0.1,98.8
Riverdale,54,20,205,78,310,613,FALSE,515,535,33.4,3.3,50.6,84,87.3,12.7,608,5,0,0.8,20515.521875,55.1,1.8,0.3,96.2,0,99.7
Hegewisch,55,60,1168,271,1565,3064,FALSE,2733,2793,38.1,2,51.1,89.2,91.2,8.8,3029,35,0,1.1,59554.06721893305,11,53.3,32.4,13,0.9,67.6
Garfield Ridge,56,74,3904,1001,6400,11379,FALSE,10304,10378,34.3,0.7,56.2,90.6,91.2,8.8,11219,160,0,1.4,91761.53365384616,7.3,58.7,35.1,3.5,1.7,64.9
