,id,address,city,state,zipcode,geocoded_address,is_match,is_exact,returned_address,coordinates,tiger_line,side,state_fips,county_fips,tract,block,longitude,latitude
0,1,6011 S CAMPBELL AVE,Chicago,IL,60629,"6011 S CAMPBELL AVE, Chicago, IL, 60629",Match,Exact,"6011 S CAMPBELL AVE, CHICAGO, IL, 60629","-87.686151139103,41.784467129116",111804823,L,17,31,835000,1010,-87.686151139103,41.784467129116
1,2,6011 S CAMPBELL AVE,Chicago,IL,60629,"6011 S CAMPBELL AVE, Chicago, IL, 60629",Match,Exact,"6011 S CAMPBELL AVE, CHICAGO, IL, 60629","-87.686151139103,41.784467129116",111804823,L,17,31,835000,1010,-87.686151139103,41.784467129116
2,3,2500 W 60TH ST,Chicago,IL,60629,"2500 W 60TH ST, Chicago, IL, 60629",Match,Exact,"2500 W 60TH ST, CHICAGO, IL, 60629","-87.686310582357,41.78475446124",605308184,R,17,31,835000,1006,-87.686310582357,41.78475446124
3,4,2500 W 60TH ST,Chicago,IL,60629,"2500 W 60TH ST, Chicago, IL, 60629",Match,Exact,"2500 W 60TH ST, CHICAGO, IL, 60629","-87.686310582357,41.78475446124",605308184,R,17,31,835000,1006,-87.686310582357,41.78475446124
4,5,6000 S CAMPBELL AVE,Chicago,IL,60629,"6000 S CAMPBELL AVE, Chicago, IL, 60629",Match,Exact,"6000 S CAMPBELL AVE, CHICAGO, IL, 60629","-87.686309136878,41.784638811931",111804823,R,17,31,835000,1009,-87.686309136878,41.784638811931
5,6,5948 S CAMPBELL AVE,Chicago,IL,60629,"5948 S CAMPBELL AVE, Chicago, IL, 60629",Match,Exact,"5948 S CAMPBELL AVE, CHICAGO, IL, 60629","-87.686331347266,41.785504757961",605308083,R,17,31,835000,1006,-87.686331347266,41.785504757961
6,7,5932 S CAMPBELL AVE,Chicago,IL,60629,"5932 S CAMPBELL AVE, Chicago, IL, 60629",Match,Exact,"5932 S CAMPBELL AVE, CHICAGO, IL, 60629","-87.686337788153,41.785745218659",605308083,R,17,31,835000,1006,-87.686337788153,41.785745218659
7,8,5936 S CAMPBELL AVE,Chicago,IL,60629,"5936 S CAMPBELL AVE, Chicago, IL, 60629",Match,Exact,"5936 S CAMPBELL AVE, CHICAGO, IL, 60629","-87.686336177931,41.785685103485",605308083,R,17,31,835000,1006,-87.686336177931,41.785685103485
8,9,5936 S CAMPBELL AVE,Chicago,IL,60629,"5936 S CAMPBELL AVE, Chicago, IL, 60629",Match,Exact,"5936 S CAMPBELL AVE, CHICAGO, IL, 60629","-87.686336177931,41.785685103485",605308083,R,17,31,835000,1006,-87.686336177931,41.785685103485
9,10,5948 S CAMPBELL AVE,Chicago,IL,60629,"5948 S CAMPBELL AVE, Chicago, IL, 60629",Match,Exact,"5948 S CAMPBELL AVE, CHICAGO, IL, 60629","-87.686331347266,41.785504757961",605308083,R,17,31,835000,1006,-87.686331347266,41.785504757961
