id,address,city,state,zipcode,geocoded_address,is_match,is_exact,returned_address,coordinates,tiger_line,side,state_fips,county_fips,tract,block,longitude,latitude
1,6011 S CAMPBELL AVE,Chicago,IL,60629,"6011 S CAMPBELL AVE, Chicago, IL, 60629",Match,Exact,"6011 S CAMPBELL AVE, CHICAGO, IL, 60629","-87.686151139103,41.784467129116",111804823,L,17,031,835000,1010,-87.686151139103,41.784467129116
2,6011 S CAMPBELL AVE,Chicago,IL,60629,"6011 S CAMPBELL AVE, Chicago, IL, 60629",Match,Exact,"6011 S CAMPBELL AVE, CHICAGO, IL, 60629","-87.686151139103,41.784467129116",111804823,L,17,031,835000,1010,-87.686151139103,41.784467129116
3,2500 W 60TH ST,Chicago,IL,60629,"2500 W 60TH ST, Chicago, IL, 60629",Match,Exact,"2500 W 60TH ST, CHICAGO, IL, 60629","-87.686310582357,41.78475446124",605308184,R,17,031,835000,1006,-87.686310582357,41.78475446124
4,2500 W 60TH ST,Chicago,IL,60629,"2500 W 60TH ST, Chicago, IL, 60629",Match,Exact,"2500 W 60TH ST, CHICAGO, IL, 60629","-87.686310582357,41.78475446124",605308184,R,17,031,835000,1006,-87.686310582357,41.78475446124
5,6000 S CAMPBELL AVE,Chicago,IL,60629,"6000 S CAMPBELL AVE, Chicago, IL, 60629",Match,Exact,"6000 S CAMPBELL AVE, CHICAGO, IL, 60629","-87.686309136878,41.784638811931",111804823,R,17,031,835000,1009,-87.686309136878,41.784638811931
6,5948 S CAMPBELL AVE,Chicago,IL,60629,"5948 S CAMPBELL AVE, Chicago, IL, 60629",Match,Exact,"5948 S CAMPBELL AVE, CHICAGO, IL, 60629","-87.686331347266,41.785504757961",605308083,R,17,031,835000,1006,-87.686331347266,41.785504757961
7,5932 S CAMPBELL AVE,Chicago,IL,60629,"5932 S CAMPBELL AVE, Chicago, IL, 60629",Match,Exact,"5932 S CAMPBELL AVE, CHICAGO, IL, 60629","-87.686337788153,41.785745218659",605308083,R,17,031,835000,1006,-87.686337788153,41.785745218659
8,5936 S CAMPBELL AVE,Chicago,IL,60629,"5936 S CAMPBELL AVE, Chicago, IL, 60629",Match,Exact,"5936 S CAMPBELL AVE, CHICAGO, IL, 60629","-87.686336177931,41.785685103485",605308083,R,17,031,835000,1006,-87.686336177931,41.785685103485
9,5936 S CAMPBELL AVE,Chicago,IL,60629,"5936 S CAMPBELL AVE, Chicago, IL, 60629",Match,Exact,"5936 S CAMPBELL AVE, CHICAGO, IL, 60629","-87.686336177931,41.785685103485",605308083,R,17,031,835000,1006,-87.686336177931,41.785685103485
10,5948 S CAMPBELL AVE,Chicago,IL,60629,"5948 S CAMPBELL AVE, Chicago, IL, 60629",Match,Exact,"5948 S CAMPBELL AVE, CHICAGO, IL, 60629","-87.686331347266,41.785504757961",605308083,R,17,031,835000,1006,-87.686331347266,41.785504757961
11,6000 S CAMPBELL AVE,Chicago,IL,60629,"6000 S CAMPBELL AVE, Chicago, IL, 60629",Match,Exact,"6000 S CAMPBELL AVE, CHICAGO, IL, 60629","-87.686309136878,41.784638811931",111804823,R,17,031,835000,1009,-87.686309136878,41.784638811931
12,7548 S MARSHFIELD AVE,Chicago,IL,60620,"7548 S MARSHFIELD AVE, Chicago, IL, 60620",Match,Exact,"7548 S MARSHFIELD AVE, CHICAGO, IL, 60620","-87.664877983999,41.756245749228",604996799,R,17,031,710400,1009,-87.664877983999,41.756245749228
13,7548 S MARSHFIELD AVE,Chicago,IL,60620,"7548 S MARSHFIELD AVE, Chicago, IL, 60620",Match,Exact,"7548 S MARSHFIELD AVE, CHICAGO, IL, 60620","-87.664877983999,41.756245749228",604996799,R,17,031,710400,1009,-87.664877983999,41.756245749228
14,5932 S CAMPBELL AVE,Chicago,IL,60629,"5932 S CAMPBELL AVE, Chicago, IL, 60629",Match,Exact,"5932 S CAMPBELL AVE, CHICAGO, IL, 60629","-87.686337788153,41.785745218659",605308083,R,17,031,835000,1006,-87.686337788153,41.785745218659
16,5941 S CAMPBELL AVE,Chicago,IL,60629,"5941 S CAMPBELL AVE, Chicago, IL, 60629",Match,Exact,"5941 S CAMPBELL AVE, CHICAGO, IL, 60629","-87.686177580569,41.785502752225",605308083,L,17,031,835000,1005,-87.686177580569,41.785502752225
17,5941 S CAMPBELL AVE,Chicago,IL,60629,"5941 S CAMPBELL AVE, Chicago, IL, 60629",Match,Exact,"5941 S CAMPBELL AVE, CHICAGO, IL, 60629","-87.686177580569,41.785502752225",605308083,L,17,031,835000,1005,-87.686177580569,41.785502752225
19,7559 S MARSHFIELD AVE,Chicago,IL,60620,"7559 S MARSHFIELD AVE, Chicago, IL, 60620",Match,Exact,"7559 S MARSHFIELD AVE, CHICAGO, IL, 60620","-87.664722138065,41.7561699141",604996799,L,17,031,710400,1002,-87.664722138065,41.7561699141
20,7559 S MARSHFIELD AVE,Chicago,IL,60620,"7559 S MARSHFIELD AVE, Chicago, IL, 60620",Match,Exact,"7559 S MARSHFIELD AVE, CHICAGO, IL, 60620","-87.664722138065,41.7561699141",604996799,L,17,031,710400,1002,-87.664722138065,41.7561699141
21,5940 S CAMPBELL AVE,Chicago,IL,60629,"5940 S CAMPBELL AVE, Chicago, IL, 60629",Match,Exact,"5940 S CAMPBELL AVE, CHICAGO, IL, 60629","-87.686334567709,41.78562498831",605308083,R,17,031,835000,1006,-87.686334567709,41.78562498831
22,5952 S CAMPBELL AVE,Chicago,IL,60629,"5952 S CAMPBELL AVE, Chicago, IL, 60629",Match,Exact,"5952 S CAMPBELL AVE, CHICAGO, IL, 60629","-87.686329737044,41.785444642786",605308083,R,17,031,835000,1006,-87.686329737044,41.785444642786
23,7554 S MARSHFIELD AVE,Chicago,IL,60620,"7554 S MARSHFIELD AVE, Chicago, IL, 60620",Match,Exact,"7554 S MARSHFIELD AVE, CHICAGO, IL, 60620","-87.664876622051,41.756198761845",604996799,R,17,031,710400,1009,-87.664876622051,41.756198761845
24,5952 S CAMPBELL AVE,Chicago,IL,60629,"5952 S CAMPBELL AVE, Chicago, IL, 60629",Match,Exact,"5952 S CAMPBELL AVE, CHICAGO, IL, 60629","-87.686329737044,41.785444642786",605308083,R,17,031,835000,1006,-87.686329737044,41.785444642786
