,address,geocoded_address,returned_address,tiger_line,tract,longitude,latitude
109,7930 S JEFFERY BLVD,"7930 S JEFFERY BLVD, Chicago, IL, 60617","7930 S JEFFERY BLVD, CHICAGO, IL, 60617",657161289,460500,-87.576044752661,41.751024724865
110,7931 S JEFFERY BLVD,"7931 S JEFFERY BLVD, Chicago, IL, 60617","7931 S JEFFERY BLVD, CHICAGO, IL, 60617",657161289,460500,-87.575891167843,41.751026265081
111,7931 S JEFFERY BLVD,"7931 S JEFFERY BLVD, Chicago, IL, 60617","7931 S JEFFERY BLVD, CHICAGO, IL, 60617",657161289,460500,-87.575891167843,41.751026265081
112,8118 S JEFFERY BLVD,"8118 S JEFFERY BLVD, Chicago, IL, 60617","8118 S JEFFERY BLVD, CHICAGO, IL, 60617",111775911,460500,-87.575988400137,41.747597288175
113,8112 S JEFFERY BLVD,"8112 S JEFFERY BLVD, Chicago, IL, 60617","8112 S JEFFERY BLVD, CHICAGO, IL, 60617",111775911,460500,-87.575989747691,41.747701752775
114,8137 S JEFFERY BLVD,"8137 S JEFFERY BLVD, Chicago, IL, 60617","8137 S JEFFERY BLVD, CHICAGO, IL, 60617",111775911,460500,-87.575829650265,41.747285833183
115,8137 S JEFFERY BLVD,"8137 S JEFFERY BLVD, Chicago, IL, 60617","8137 S JEFFERY BLVD, CHICAGO, IL, 60617",111775911,460500,-87.575829650265,41.747285833183
116,8151 S JEFFERY BLVD,"8151 S JEFFERY BLVD, Chicago, IL, 60617","8151 S JEFFERY BLVD, CHICAGO, IL, 60617",111775911,460500,-87.575825628111,41.747042491394
117,8151 S JEFFERY BLVD,"8151 S JEFFERY BLVD, Chicago, IL, 60617","8151 S JEFFERY BLVD, CHICAGO, IL, 60617",111775911,460500,-87.575825628111,41.747042491394
118,5835 S OAKLEY AVE,"5835 S OAKLEY AVE, Chicago, IL, 60636","5835 S OAKLEY AVE, CHICAGO, IL, 60636",605308061,835100,-87.681049400612,41.787871272817
119,5840 S OAKLEY AVE,"5840 S OAKLEY AVE, Chicago, IL, 60636","5840 S OAKLEY AVE, CHICAGO, IL, 60636",605308061,835100,-87.681203087474,41.787793356768
120,8112 S JEFFERY BLVD,"8112 S JEFFERY BLVD, Chicago, IL, 60617","8112 S JEFFERY BLVD, CHICAGO, IL, 60617",111775911,460500,-87.575989747691,41.747701752775
