,address,geocoded_address,returned_address,tiger_line,tract,longitude,latitude
214,8120 S JEFFERY BLVD,"8120 S JEFFERY BLVD, Chicago, IL, 60617","8120 S JEFFERY BLVD, CHICAGO, IL, 60617",111775911,460500,-87.575987825544,41.747562525062
215,5624 S OAKLEY AVE,"5624 S OAKLEY AVE, Chicago, IL, 60636","5624 S OAKLEY AVE, CHICAGO, IL, 60636",605451076,835100,-87.681311091719,41.791781633412
216,8119 S JEFFERY BLVD,"8119 S JEFFERY BLVD, Chicago, IL, 60617","8119 S JEFFERY BLVD, CHICAGO, IL, 60617",111775911,460500,-87.575834821606,41.747598701198
217,8119 S JEFFERY BLVD,"8119 S JEFFERY BLVD, Chicago, IL, 60617","8119 S JEFFERY BLVD, CHICAGO, IL, 60617",111775911,460500,-87.575834821606,41.747598701198
218,5623 S OAKLEY AVE,"5623 S OAKLEY AVE, Chicago, IL, 60636","5623 S OAKLEY AVE, CHICAGO, IL, 60636",605451076,835100,-87.681157395521,41.791786130291
219,5620 S OAKLEY AVE,"5620 S OAKLEY AVE, Chicago, IL, 60636","5620 S OAKLEY AVE, CHICAGO, IL, 60636",605451076,835100,-87.681311091713,41.791839450538
220,8108 S JEFFERY BLVD,"8108 S JEFFERY BLVD, Chicago, IL, 60617","8108 S JEFFERY BLVD, CHICAGO, IL, 60617",111775911,460500,-87.57599061679,41.747771281264
221,5532 S OAKLEY AVE,"5532 S OAKLEY AVE, Chicago, IL, 60636","5532 S OAKLEY AVE, CHICAGO, IL, 60636",605450923,835100,-87.68133994304,41.792768927392
222,8108 S JEFFERY BLVD,"8108 S JEFFERY BLVD, Chicago, IL, 60617","8108 S JEFFERY BLVD, CHICAGO, IL, 60617",111775911,460500,-87.57599061679,41.747771281264
223,5603 S OAKLEY AVE,"5603 S OAKLEY AVE, Chicago, IL, 60636","5603 S OAKLEY AVE, CHICAGO, IL, 60636",111804749,835100,-87.681172399859,41.792204437525
224,5611 S OAKLEY AVE,"5611 S OAKLEY AVE, Chicago, IL, 60636","5611 S OAKLEY AVE, CHICAGO, IL, 60636",605451076,835100,-87.681162173505,41.791957795965
225,5619 S OAKLEY AVE,"5619 S OAKLEY AVE, Chicago, IL, 60636","5619 S OAKLEY AVE, CHICAGO, IL, 60636",605451076,835100,-87.681157395515,41.791842662592
226,8111 S JEFFERY BLVD,"8111 S JEFFERY BLVD, Chicago, IL, 60617","8111 S JEFFERY BLVD, CHICAGO, IL, 60617",111775911,460500,-87.575836597849,41.747737585645
227,8111 S JEFFERY BLVD,"8111 S JEFFERY BLVD, Chicago, IL, 60617","8111 S JEFFERY BLVD, CHICAGO, IL, 60617",111775911,460500,-87.575836597849,41.747737585645
228,5527 S OAKLEY AVE,"5527 S OAKLEY AVE, Chicago, IL, 60636","5527 S OAKLEY AVE, CHICAGO, IL, 60636",605450923,835100,-87.681188720916,41.792857652158
